Atomic Number,Name,Symbol,El. Configuration,Atomic Mass (u),Atomic Radius (pm),Covalent Radius Pyykko (pm),Electronegativity (Ghosh),Electronegativity (Pauling)
94,Plutonium,Pu,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f6', '7s2']",244.0,175.0,172.0,0.16137,1.3
95,Americium,Am,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f7', '7s2']",243.0,175.0,166.0,0.17194,
96,Curium,Cm,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f7', '6d1', '7s2']",247.0,,166.0,0.17439000000000002,
97,Berkelium,Bk,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f9', '7s2']",247.0,,168.0,0.19315,
98,Californium,Cf,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f10', '7s2']",251.0,,168.0,0.20369,
99,Einsteinium,Es,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f11', '7s2']",252.0,,165.0,0.21427,
100,Fermium,Fm,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f12', '7s2']",257.0,,167.0,0.22485,
101,Mendelevium,Md,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f13', '7s2']",258.0,,173.0,0.23542,
102,Nobelium,No,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '7s2']",259.0,,176.0,0.24600000000000002,
103,Lawrencium,Lr,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d1', '7s2']",262.0,,161.0,0.24844000000000002,
104,Rutherfordium,Rf,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d2', '7s2']",267.0,,157.0,,
105,Dubnium,Db,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d3', '7s2']",268.0,,149.0,,
106,Seaborgium,Sg,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d4', '7s2']",271.0,,143.0,,
107,Bohrium,Bh,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d5', '7s2']",274.0,,141.0,,
108,Hassium,Hs,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d6', '7s2']",269.0,,134.0,,
109,Meitnerium,Mt,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d7', '7s2']",276.0,,129.0,,
110,Darmstadtium,Ds,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d9', '7s1']",281.0,,128.0,,
111,Roentgenium,Rg,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s1']",281.0,,121.0,,
112,Copernicium,Cn,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2']",285.0,,122.0,,
113,Nihonium,Nh,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2', '7p1']",286.0,,136.0,,
114,Flerovium,Fl,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2', '7p2']",289.0,,143.0,,
115,Moscovium,Mc,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2', '7p3']",288.0,,162.0,,
116,Livermorium,Lv,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2', '7p4']",293.0,,175.0,,
117,Tennessine,Ts,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2', '7p5']",294.0,,165.0,,
118,Oganesson,Og,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f14', '6d10', '7s2', '7p6']",294.0,,157.0,,
