iter	Passed	Remaining
769	6861	2049
770	6869	2040
771	6877	2031
772	6886	2022
773	6894	2013
774	6907	2005
775	6916	1996
776	6923	1987
777	6932	1978
778	6939	1968
779	6948	1959
780	6955	1950
781	6964	1941
782	6971	1932
783	6980	1923
784	6987	1913
785	6995	1904
786	7003	1895
787	7010	1886
788	7020	1877
789	7029	1868
790	7037	1859
791	7046	1850
792	7069	1845
793	7081	1837
794	7090	1828
795	7100	1819
796	7107	1810
797	7118	1801
798	7127	1793
799	7135	1783
800	7144	1775
801	7152	1765
802	7161	1756
803	7168	1747
804	7177	1738
805	7186	1729
806	7195	1720
807	7203	1711
808	7212	1702
809	7219	1693
810	7229	1684
811	7236	1675
812	7245	1666
813	7252	1657
814	7261	1648
815	7269	1639
816	7277	1630
817	7284	1620
818	7293	1611
819	7301	1602
820	7310	1593
821	7317	1584
822	7327	1575
823	7334	1566
824	7343	1557
825	7350	1548
826	7359	1539
827	7367	1530
828	7375	1521
829	7383	1512
830	7392	1503
831	7400	1494
832	7409	1485
833	7417	1476
834	7427	1467
835	7434	1458
836	7442	1449
837	7472	1444
838	7482	1435
839	7492	1427
840	7500	1418
841	7509	1409
842	7516	1399
843	7526	1391
844	7533	1381
845	7543	1373
846	7550	1363
847	7559	1354
848	7566	1345
849	7575	1336
850	7583	1327
851	7591	1318
852	7600	1309
853	7608	1300
854	7616	1291
855	7624	1282
856	7633	1273
857	7642	1264
858	7652	1256
859	7659	1246
860	7668	1237
861	7676	1228
862	7684	1219
863	7692	1210
864	7701	1201
865	7708	1192
866	7717	1183
867	7725	1174
868	7735	1166
869	7743	1157
870	7752	1148
871	7760	1139
872	7769	1130
873	7777	1121
874	7787	1112
875	7798	1103
876	7807	1094
877	7817	1086
878	7824	1077
879	7834	1068
880	7842	1059
881	7854	1050
882	7864	1042
883	7872	1032
884	7881	1024
885	7891	1015
886	7902	1006
887	7913	998
888	7920	988
889	7929	980
890	7938	971
891	7947	962
892	7954	953
893	7963	944
894	7971	935
895	7979	926
896	7988	917
897	7997	908
898	8004	899
899	8013	890
900	8020	881
901	8029	872
902	8038	863
903	8048	854
904	8055	845
905	8064	836
906	8071	827
907	8080	818
908	8087	809
909	8096	800
910	8103	791
911	8113	782
912	8121	773
913	8131	765
914	8144	756
915	8156	747
916	8166	739
917	8178	730
918	8189	721
919	8198	712
920	8208	704
921	8217	695
922	8228	686
923	8244	678
924	8292	672
925	8341	666
926	8380	659
927	8407	652
928	8419	643
929	8428	634
930	8439	625
931	8450	616
932	8460	607
933	8474	598
934	8483	589
935	8496	580
936	8508	572
937	8519	563
938	8532	554
939	8544	545
940	8557	536
941	8570	527
942	8581	518
943	8592	509
944	8603	500
945	8611	491
